September 13, 2021 11:52 AM === победа;  User: tails;  PC: tails;
September 13, 2021 11:55 AM === поражение;  User: tails;  PC: heads;
September 13, 2021 11:56 AM === поражение;  User: tails;  PC: heads;
September 13, 2021 11:56 AM === победа;  User: tails;  PC: tails;
September 13, 2021 11:58 AM === поражение;  User: tails;  PC: heads;
September 13, 2021 11:59 AM === победа;  User: tails;  PC: tails;
September 13, 2021 11:59 AM === победа;  User: heads;  PC: heads;
September 13, 2021 12:00 PM === победа;  User: tails;  PC: tails;
September 13, 2021 12:15 PM === победа;  User: tails;  PC: tails;
September 13, 2021 12:15 PM === поражение;  User: heads;  PC: tails;
September 13, 2021 12:15 PM === победа;  User: tails;  PC: tails;
September 13, 2021 12:18 PM === победа;  User: tails;  PC: tails;
September 13, 2021 12:19 PM === поражение;  User: tails;  PC: heads;
September 13, 2021 12:19 PM === победа;  User: heads;  PC: heads;
September 13, 2021 12:25 PM === поражение;  User: tails;  PC: heads;
September 13, 2021 12:26 PM === победа;  User: tails;  PC: tails;
September 13, 2021 12:31 PM === поражение;  User: heads;  PC: tails;
September 13, 2021 12:32 PM === победа;  User: tails;  PC: tails;
September 13, 2021 12:33 PM === победа;  User: tails;  PC: tails;
September 13, 2021 12:33 PM === победа;  User: tails;  PC: tails;
September 13, 2021 12:33 PM === победа;  User: tails;  PC: tails;
September 13, 2021 12:34 PM === поражение;  User: tails;  PC: heads;
